Título	Tiempo de Lectura (min)	Primer Nombre Autor	Apellido Autor	Nombre Completo Autor	País	Género	Año de nacimiento	Año de muerte	Autores relacionados	Categorías
Rumpelstikin	5.535	Anónimo	Anónimo	Unknown	Unknown	Unknown	0.0	0.0	Unknown	Unknown
Profundidad china	0.135	Papini, Giovanni	Papini	Giovanni	Italia	Unknown	1881.0	1956.0	Aldous Huxley,Dante Alighieri,Filippo Tommaso Marinetti,Giacomo Leopardi,Giovanni Boccaccio,Giuseppe Ungaretti,Johann Wolfgang von Goethe,Jorge Luis Borges,William Shakespeare	Biógrafos de Italia,Candidatos al Premio Nobel de Literatura,Candidatos al Premio Nobel de la Paz,Conversos al catolicismo desde el ateísmo o agnosticismo,Escritores católicos,Escritores de Italia del siglo XX,Escritores en italiano,Fallecidos en 1956,Fallecidos en Florencia,Giovanni Papini,Hombres,Nacidos en 1881,Nacidos en Florencia,Poesía moderna
Metamorfosis	0.49	Gómez de la Serna, Ramón	Gómez de la Serna	Ramón	España	Romanticismo	1888.0	1963.0	Carolina Coronado,Enrique Jardiel Poncela,Francisco de Quevedo,Gaspar Núnez de Arce,José Ortega y Gasset,José de Espronceda,Jules Renard,Lope de Vega,Manuel Bretón de los Herreros,Manuel Machado,Miguel Mihura,Oliverio Girondo,Pedro Emilio Coll,Pío Baroja,Tomás Borrás,William Shakespeare	Alumnado de las Escuelas Pías,Biógrafos de Espana del siglo XX,Ensayistas de Argentina,Ensayistas de Espana del siglo XX,Escritores costumbristas de Espana,Escritores de Argentina del siglo XX,Escritores de Espana del Novecentismo,Escritores de la Comunidad de Madrid,Escritores de literatura humorística,Escritores en espanol del siglo XX,Exiliados del franquismo en Argentina,Fallecidos en 1963,Fallecidos en Buenos Aires,Generación de 1914,Grandes cruces de la Orden de Alfonso X el Sabio,Hombres,Humoristas de Argentina,Humoristas de Espana del siglo XX,Literatura de vanguardia,Microrrelatistas,Miembros del Instituto de Estudios Madrilenos,Nacidos en 1888,Nacidos en Madrid,Novelistas de Argentina,Novelistas de Espana del siglo XX,Periodistas de Espana del siglo XX,Poesía moderna,Ramón Gómez de la Serna,Sepultados en el cementerio de San Justo
La liebre y la tortuga	1.73	Esopo	Esopo	Unknown	Grecia	Unknown	-600.0	0.0	Unknown	Unknown
Cuento VII – El conde Lucanor – Dona Truhana	2.45	Juan Manuel	Juan Manuel	Unknown	España	Unknown	1282.0	1348.0	Unknown	Unknown
Pigmalión	3.725	Updike, John	Updike	John	Estados Unidos	Romanticismo	1932.0	2009.0	Ernest Hemingway,Franz Kafka,J. D. Salinger,James Joyce,James Thurber,José Ortega y Gasset,Marcel Proust,Miguel de Unamuno,Vladimir Nabokov,William Shakespeare	Alumnado de la Universidad de Harvard,Cuentistas de Estados Unidos,Doctores honorarios de Bates College,Doctores honorarios de la Universidad de Harvard,Doctores honorarios por la Universidad Brandeis,Ensayistas de Estados Unidos,Escritores de Estados Unidos del siglo XX,Escritores de Estados Unidos del siglo XXI,Escritores de ficción psicológica,Escritores en inglés del siglo XX,Escritores en inglés del siglo XXI,Escritores modernos de ficción relacionada con la mitología griega,Fallecidos en 2009,Fallecidos por cáncer de pulmón en Massachusetts,Ganadores del Premio Nacional del Libro,Ganadores del Premio Pulitzer,Hombres,Medalla Nacional de Humanidades,Medalla Nacional de las Artes,Miembros de la Academia Estadounidense de las Artes y las Letras,Nacidos en 1932,Nacidos en Reading (Pensilvania),Novelistas de Estados Unidos,Poetas de Estados Unidos
La pasarela	5.685	Pardo Bazán, Emilia	Pardo Bazán	Emilia	España	Romanticismo	1851.0	1921.0	Benito Pérez Galdós,Francisco Pi y Margall,Gertrudis Gómez de Avellaneda,José María Gabriel y Galán,Juan Valera,María de Zayas,Miguel de Unamuno,Pedro Antonio de Alarcón,Ramón de Campoamor,Vicente Blasco Ibánez,Victor Hugo,Wenceslao Fernández Flórez,Émile Zola	Académicos numerarios de la Real Academia Gallega,Aliadófilos en Espana durante la Primera Guerra Mundial,Antidarwinismo en Espana,Antisemitismo en Espana,Ateneístas,Catedráticos de la Universidad Complutense de Madrid,Condes de Espana,Creacionistas,Críticos de teatro de Espana,Críticos literarios de Espana del siglo XIX,Críticos literarios de Espana del siglo XX,Damas de la Orden de las Damas Nobles de la Reina María Luisa,Emilia Pardo Bazán,Escritoras de Espana,Escritoras feministas de Espana,Escritores católicos de Espana,Escritores costumbristas de Espana,Escritores de Espana del Realismo,Escritores de Espana del siglo XIX,Escritores de Espana del siglo XX,Escritores de la provincia de La Coruna,Escritores en espanol,Escritores sobre el carlismo,Espanolas del siglo XIX,Espanolas del siglo XX,Fallecidos en 1921,Fallecidos en Madrid,Feministas de Galicia,Gastrónomas de Espana,Historia de las mujeres en Espana,Literatos carlistas,Mujeres,Mujeres novelistas de Espana,Nacidos en 1851,Nacidos en La Coruna,Novelistas de Espana del siglo XIX,Novelistas de Espana del siglo XX,Novelistas de Galicia,Racismo en Espana,Salonnière,Sepultados en la Sacramental de San Lorenzo y San José
El poder	4.155	Brown, Fredric	Brown	Fredric	Estados Unidos	Romanticismo	1906.0	1972.0	Philip K. Dick	Escritores de Estados Unidos,Escritores de ciencia ficción de Estados Unidos,Escritores de misterio,Fallecidos en 1972,Ganadores del Premio Edgar a la Mejor primera novela,Hombres,Nacidos en 1906,Nacidos en Cincinnati
El rey de los monos	1.66	Anónimo	Anónimo	Unknown	India	Unknown	0.0	0.0	Unknown	Unknown
Cuento de los tres deseos	3.33	Le Prince de Beaumont	Le Prince de Beaumont	Unknown	Francia	Unknown	1711.0	1780.0	Unknown	Unknown
La ley de Herodes	6.415	Ibargüengoitia, Jorge	Ibargüengoitia	Jorge	Mexico	Unknown	1928.0	1983.0	Evelyn Waugh,Gabriel García Márquez,Italo Calvino,Manuel Scorza,Salvador Novo,Sergio Pitol	Cuentistas de México del siglo XX,Dramaturgos de México,Escritores de Guanajuato,Escritores de México del siglo XX,Escritores en espanol del siglo XX,Fallecidos en 1983,Fallecidos en Madrid,Fallecidos por accidentes aéreos,Hombres,Nacidos en 1928,Nacidos en Guanajuato (ciudad),Novelistas de México,Premio Casa de las Américas
El primer destilador	5.94	Tolstoi, León	Tolstoi	León	Rusia	Romanticismo	1828.0	1910.0	Rainer Maria Rilke,Stefan Zweig	Aforistas,Anarco-pacifistas,Anarquismo cristiano,Anarquistas de Rusia,Candidatos al Premio Nobel de Literatura,Candidatos al Premio Nobel de la Paz,Condes de Rusia,Conversos al cristianismo,Cristianos de Rusia,Cristianos del siglo XIX,Cristianos del siglo XX,Educadores de Rusia,Escritores cristianos,Escritores de Rusia del siglo XIX,Escritores en ruso,Fallecidos en 1910,Fallecidos por neumonía en Rusia,Filósofos cristianos,Georgistas,Hombres,León Tolstói,Literatura del Realismo,Movimiento tolstoyano,Nacidos en 1828,Novelistas de Rusia del siglo XIX,Pacifistas de Rusia,Pedagogos anarquistas,Pedagogos de Rusia,Personas de la Guerra de Crimea,Socios correspondientes de la Academia Brasilena de Letras
Los piojitos de la princesa	5.66	Anónimo	Anónimo	Unknown	Unknown	Unknown	0.0	0.0	Unknown	Unknown
La casa embrujada	2.885	Crowe, Catherine	Crowe	Catherine	Inglaterra	Unknown	1790.0	1876.0	Charles Baudelaire,Charles Dickens	Cuentistas de Inglaterra,Dramaturgas de Inglaterra,Fallecidos en 1875,Mujeres,Mujeres novelistas de Inglaterra,Nacidos en 1803,Nacidos en Kent,Novelistas de Inglaterra del siglo XIX,Novelistas victorianos
Los gatos de Ulthar	6.9	Lovecraft, H. P.	Lovecraft	H. P.	Estados Unidos	Romanticismo	1890.0	1937.0	Algernon Blackwood,Arthur Machen,Bram Stoker,Clark Ashton Smith,Edgar Allan Poe,Jorge Luis Borges,Lord Dunsany,Ray Bradbury,Robert Bloch	Agnósticos de Estados Unidos,Ateos de Estados Unidos,Columnistas de Estados Unidos,Escritores de Estados Unidos,Escritores de terror,Escritores del siglo XX,Fallecidos en 1937,Fallecidos en Providence (Rhode Island),H. P. Lovecraft,Hombres,Mitos de Cthulhu,Nacidos en 1890
El gato y la zorra	1.19	La Fontaine, Jean de	La Fontaine	Jean de	Francia	Romanticismo	1621.0	1695.0	Charles Perrault,Giovanni Boccaccio	Escritores en francés,Fabulistas,Fallecidos en 1695,Fallecidos en París,Hombres,Index Librorum Prohibitorum,Miembros de la Academia Francesa,Moralistas,Nacidos en 1621,Nacidos en Château-Thierry,Poetas de Francia del siglo XVII
De funerales	0.605	Torri, Julio	Torri	Julio	Mexico	Unknown	1889.0	1970.0	Heinrich Heine	Abogados de Coahuila,Escritores de Coahuila,Fallecidos en 1970,Fallecidos en Ciudad de México,Hombres,Microrrelatistas,Miembros de la Academia Mexicana de la Lengua,Miembros del Ateneo de la Juventud Mexicana,Nacidos en 1889,Nacidos en Saltillo
El pollito que se hizo rey	4.06	Anónimo	Anónimo	Unknown	África	Unknown	0.0	0.0	Unknown	Unknown
EL Zorro y los Pavos	0.94	La Fontaine, Jean de	La Fontaine	Jean de	Francia	Romanticismo	1621.0	1695.0	Charles Perrault,Giovanni Boccaccio	Escritores en francés,Fabulistas,Fallecidos en 1695,Fallecidos en París,Hombres,Index Librorum Prohibitorum,Miembros de la Academia Francesa,Moralistas,Nacidos en 1621,Nacidos en Château-Thierry,Poetas de Francia del siglo XVII
Las estatuas	0.645	Anderson Imbert, Enrique	Anderson Imbert	Enrique	Argentina	Unknown	1910.0	2000.0	Unknown	Alumnado de la Facultad de Filosofía y Letras de la Universidad de Buenos Aires,Alumnado del Colegio Nacional Rafael Hernández,Beca Guggenheim,Críticos literarios de Argentina,Cuentistas de Argentina,Ensayistas de Argentina,Escritores de la provincia de Córdoba (Argentina),Escritores en espanol del siglo XX,Fallecidos en 2000,Fallecidos en Buenos Aires,Hombres,Miembros de la Academia Argentina de Letras,Miembros de la Academia Estadounidense de las Artes y las Ciencias,Nacidos en 1910,Nacidos en Córdoba (Argentina),Novelistas de Argentina,Profesorado de la Universidad Nacional de Tucumán,Profesores de la Universidad Nacional de Cuyo,Profesores de la Universidad de Harvard,Profesores de la Universidad de Míchigan,Sepultados en el Cementerio Jardín de Paz de Pilar
El muerto en el mar de Urca	2.225	Lispector, Clarice	Lispector	Clarice	Brasil	Histórico	1920.0	1977.0	Cristina Peri Rossi,Franz Kafka,Ida Vitale,James Joyce,Jorge Luis Borges,Virginia Woolf	Alumnado de la Universidad Federal de Río de Janeiro,Brasilenos nacidos en el exterior,Clarice Lispector,Cuentistas de Brasil,Cuentistas de Ucrania,Escritoras de Brasil,Escritoras de Ucrania,Escritores del siglo XX,Escritores en portugués,Fallecidas por cáncer de ovario,Fallecidos en 1977,Fallecidos por cáncer en Brasil,Judíos de Brasil,Judíos de Ucrania,Mujeres,Nacidos en 1920,Nacionalizados de Brasil,Novelistas de Brasil,Novelistas de Ucrania,Premio Jabuti,Traductores al portugués,Traductores de Agatha Christie,Traductores de Brasil,Traductores de Edgar Allan Poe,Traductores de Oscar Wilde,Traductores de Ucrania
Para objetos solamente	4.64	Benedetti, Mario	Benedetti	Mario	Uruguay	Romanticismo	1920.0	2009.0	Gabriela Mistral,José Saramago,Pablo Neruda,Rubén Darío	Fallecidos en 2009,Hombres,Mario Benedetti,Nacidos en 1920
El cometa	0.07	Gómez de la Serna, Ramón	Gómez de la Serna	Ramón	España	Romanticismo	1888.0	1963.0	Carolina Coronado,Enrique Jardiel Poncela,Francisco de Quevedo,Gaspar Núnez de Arce,José Ortega y Gasset,José de Espronceda,Jules Renard,Lope de Vega,Manuel Bretón de los Herreros,Manuel Machado,Miguel Mihura,Oliverio Girondo,Pedro Emilio Coll,Pío Baroja,Tomás Borrás,William Shakespeare	Alumnado de las Escuelas Pías,Biógrafos de Espana del siglo XX,Ensayistas de Argentina,Ensayistas de Espana del siglo XX,Escritores costumbristas de Espana,Escritores de Argentina del siglo XX,Escritores de Espana del Novecentismo,Escritores de la Comunidad de Madrid,Escritores de literatura humorística,Escritores en espanol del siglo XX,Exiliados del franquismo en Argentina,Fallecidos en 1963,Fallecidos en Buenos Aires,Generación de 1914,Grandes cruces de la Orden de Alfonso X el Sabio,Hombres,Humoristas de Argentina,Humoristas de Espana del siglo XX,Literatura de vanguardia,Microrrelatistas,Miembros del Instituto de Estudios Madrilenos,Nacidos en 1888,Nacidos en Madrid,Novelistas de Argentina,Novelistas de Espana del siglo XX,Periodistas de Espana del siglo XX,Poesía moderna,Ramón Gómez de la Serna,Sepultados en el cementerio de San Justo
Rutinas	0.615	Benedetti, Mario	Benedetti	Mario	Uruguay	Romanticismo	1920.0	2009.0	Gabriela Mistral,José Saramago,Pablo Neruda,Rubén Darío	Fallecidos en 2009,Hombres,Mario Benedetti,Nacidos en 1920
Fábula	1.095	Pessoa, Fernando	Pessoa	Fernando	Portugal	Romanticismo	1888.0	1935.0	Alfred Tennyson,Antonio Machado,Cecília Meireles,Edgar Allan Poe,Ezra Pound,James Joyce,Jesús Munárriz,John Keats,John Milton,José Luis García Martín,José Saramago,Lord Byron,Octavio Paz,Pablo Neruda,Percy Bysshe Shelley,T. S. Eliot,Walt Whitman,William Butler Yeats,William Shakespeare,William Wordsworth,Ángel Crespo	Agnósticos de Portugal,Escritores con seudónimo,Escritores de Portugal del siglo XX,Escritores en portugués,Fallecidos en 1935,Fallecidos por cirrosis,Fernando Pessoa,Hombres,Masones de Portugal,Nacidos en 1888,Nacidos en Lisboa,Paganos,Poesía moderna,Poetas de Portugal del siglo XX,Poetas en portugués,Rosacruces
Los lobos y los perros alistándose a luchar	0.64	Esopo	Esopo	Unknown	Grecia	Unknown	-600.0	0.0	Unknown	Unknown
En tierra firme	0.275	Anónimo	Anónimo	Unknown	Arabia	Unknown	0.0	0.0	Unknown	Unknown
El grillo maestro	0.715	Monterroso, Augusto	Monterroso	Augusto	Guatemala	Unknown	1921.0	2003.0	Unknown	Aforistas,Augusto Monterroso,Cuentistas de Guatemala,Emigrantes guatemaltecos hacia México,Ensayistas de Guatemala,Escritores de Guatemala,Escritores en espanol del siglo XX,Fabulistas,Fallecidos en 2003,Fallecidos en Ciudad de México,Galardonados con el Premio Princesa de Asturias de las Letras,Ganadores del Premio Nacional de Literatura de Guatemala,Hombres,Microrrelatistas,Nacidos en 1920,Nacidos en Tegucigalpa,Nacionalizados de Guatemala,Premio Xavier Villaurrutia
En una estación de ferrocarril	5.25	Hearn, Lafcadio	Hearn	Lafcadio	Grecia	Unknown	1850.0	1904.0	Gustave Flaubert,Guy de Maupassant	Budistas de Grecia,Budistas de Irlanda,Conversos al budismo desde el cristianismo,Cuentos de hadas,Escritores de Estados Unidos del siglo XIX,Escritores de Irlanda del siglo XIX,Escritores de Japón del siglo XIX,Escritores en inglés del siglo XIX,Fallecidos en 1904,Fallecidos por insuficiencia cardíaca,Folcloristas de Japón,Hombres,Japonólogos,Nacidos en 1850,Orientalistas de Estados Unidos,Orientalistas de Grecia,Orientalistas de Irlanda,Periodistas de Estados Unidos,Personas tuertas,Profesores de la Universidad de Tokio,Profesores de la Universidad de Waseda
Los animales en el arca	1.385	Denevi, Marco	Denevi	Marco	Argentina	Unknown	1922.0	1998.0	Unknown	Alumnado del Colegio Nacional de Buenos Aires,Cuentistas de Argentina,Diplomas al mérito Konex,Dramaturgos de Argentina,Escritores en espanol del siglo XX,Fallecidos en 1998,Hombres,Microrrelatistas,Nacidos en 1920,Novelistas de Argentina,Periodistas de Argentina,Personas de Sáenz Pena (Buenos Aires),Sepultados en el cementerio de la Recoleta
El grupo	4.76	Pavese, Cesare	Pavese	Cesare	Italia	Unknown	1908.0	1950.0	Charles Dickens,Daniel Defoe,Herman Melville,James Joyce,Walt Whitman,William Faulkner	Antifascistas de Italia,Ateos de Italia,Biógrafos de Italia,Cuentistas de Italia,Diaristas,Ensayistas de Italia del siglo XX,Escritores de Italia del siglo XX,Escritores que cometieron suicidio,Fallecidos en 1950,Fallecidos en Turín,Ganadores del Premio Strega,Hombres,Nacidos en 1908,Nacidos en Santo Stefano Belbo,Novelistas de Italia del siglo XX,Poesía moderna,Poetas de Italia del siglo XX,Suicidas de Italia,Suicidas por sobredosis de barbitúricos,Suicidios en 1950,Suicidios masculinos,Traductores al italiano,Traductores del inglés
La leyenda de Carlomagno	0.815	Calvino, Italo	Calvino	Italo	Italia	Unknown	1923.0	1985.0	Alberto Moravia,Cesare Pavese,Jorge Luis Borges,Joseph Conrad	Alumnado de la Universidad de Florencia,Ateos de Italia,Comunistas de Italia,Escritores de Italia del siglo XX,Escritores en italiano,Fallecidos en 1985,Fallecidos en Siena,Hombres,Italo Calvino,Nacidos en 1923,Nacidos en Santiago de las Vegas,Personas de Liguria
Ley profunda	0.375	Reyes, Alfonso	Reyes	Alfonso	Mexico	Unknown	1889.0	1959.0	Unknown	Unknown
Dios y el párroco	1.235	Afanasiev, Aleksandr Nikoalevich	Afanasiev	Aleksandr Nikoalevich	Rusia	Unknown	1826.0	1871.0	Unknown	Unknown
Tristis imago	2.73	Romero de Terreros, Manuel	Romero de Terreros	Manuel	Mexico	Histórico	1880.0	1968.0	Unknown	Caballeros de la Orden de Malta,Caballeros de la Orden del Santo Sepulcro de Jerusalén,Escritores de la Ciudad de México,Fallecidos en 1968,Fallecidos en Ciudad de México,Historiadores de México,Hombres,Miembros de la Academia Mexicana de la Historia,Miembros de la Academia Mexicana de la Lengua,Nacidos en 1880,Nacidos en Ciudad de México
La princesa y el frijol	1.955	Andersen, Hans Christian	Andersen	Hans Christian	Dinamarca	Romanticismo	1805.0	1875.0	Charles Dickens,William Shakespeare	Autodidactas,Comandantes de primera clase de la Orden de Dannebrog,Cuentistas de Dinamarca,Escritores LGBT de Dinamarca,Escritores bisexuales,Escritores de Dinamarca del siglo XIX,Escritores de literatura infantil de Dinamarca,Escritores en danés,Escritores sobre viajes del siglo XIX,Fallecidos en 1875,Fallecidos por cáncer de hígado en Dinamarca,Hans Christian Andersen,Historia LGBT en Dinamarca,Hombres,Nacidos en 1805,Nacidos en Odense,Novelistas de Dinamarca del siglo XIX,Personas que dan nombre a un asteroide,Poetas de Dinamarca del siglo XIX,Protestantes de Dinamarca,Viajeros del siglo XIX por Espana,Zurdos
El enigma	0.975	Voltaire	Voltaire	Unknown	Francia	Unknown	1694.0	1778.0	Unknown	Unknown
En el Santo	6.17	Pardo Bazán, Emilia	Pardo Bazán	Emilia	España	Romanticismo	1851.0	1921.0	Benito Pérez Galdós,Francisco Pi y Margall,Gertrudis Gómez de Avellaneda,José María Gabriel y Galán,Juan Valera,María de Zayas,Miguel de Unamuno,Pedro Antonio de Alarcón,Ramón de Campoamor,Vicente Blasco Ibánez,Victor Hugo,Wenceslao Fernández Flórez,Émile Zola	Académicos numerarios de la Real Academia Gallega,Aliadófilos en Espana durante la Primera Guerra Mundial,Antidarwinismo en Espana,Antisemitismo en Espana,Ateneístas,Catedráticos de la Universidad Complutense de Madrid,Condes de Espana,Creacionistas,Críticos de teatro de Espana,Críticos literarios de Espana del siglo XIX,Críticos literarios de Espana del siglo XX,Damas de la Orden de las Damas Nobles de la Reina María Luisa,Emilia Pardo Bazán,Escritoras de Espana,Escritoras feministas de Espana,Escritores católicos de Espana,Escritores costumbristas de Espana,Escritores de Espana del Realismo,Escritores de Espana del siglo XIX,Escritores de Espana del siglo XX,Escritores de la provincia de La Coruna,Escritores en espanol,Escritores sobre el carlismo,Espanolas del siglo XIX,Espanolas del siglo XX,Fallecidos en 1921,Fallecidos en Madrid,Feministas de Galicia,Gastrónomas de Espana,Historia de las mujeres en Espana,Literatos carlistas,Mujeres,Mujeres novelistas de Espana,Nacidos en 1851,Nacidos en La Coruna,Novelistas de Espana del siglo XIX,Novelistas de Espana del siglo XX,Novelistas de Galicia,Racismo en Espana,Salonnière,Sepultados en la Sacramental de San Lorenzo y San José
La higuera	0.89	Tagore, Rabindranath	Tagore	Rabindranath	India	Unknown	1861.0	1941.0	Dante Alighieri,Federico García Lorca,Gabriela Mistral,Graham Greene,Johann Wolfgang von Goethe,José Ortega y Gasset,Juan Ramón Jiménez,León Tolstoi,Miguel de Cervantes,Octavio Paz,Pablo Neruda,Robert Frost,Thomas Mann,Victoria Ocampo,W. B. Yeats,Yasunari Kawabata	Aforistas,Alumnado de la Universidad de Calcuta,Alumnado del University College de Londres,Autores de himnos nacionales,Dramaturgos de India,Escritores de Bangladés,Escritores de India del siglo XIX,Escritores de India del siglo XX,Escritores en bengalí,Fallecidos en 1941,Filósofos de India del siglo XIX,Filósofos de India del siglo XX,Hombres,Indios laureados con el Premio Nobel de Literatura,Knights Bachelor,Laureados con el Premio Nobel 1913,Nacidos en 1861,Nacidos en Calcuta,Novelistas de India del siglo XIX,Novelistas de India del siglo XX,Pedagogos de India,Poetas de India del siglo XIX,Poetas de India del siglo XX,Rabindranath Tagore
En Zaccarath	6.25	Dunsany, Lord	Dunsany	Lord	Irlanda	Unknown	1878.0	1957.0	Arthur C. Clarke,H. P. Lovecraft,Jorge Luis Borges,William Butler Yeats	Candidatos al Premio Nobel de Literatura,Escritores de literatura fantástica de Irlanda,Escritores de terror de Irlanda,Escritores en inglés del siglo XX,Fallecidos en 1957,Fallecidos en Dublín,Fallecidos por apendicitis,Hombres,Lord Dunsany,Nacidos en 1878,Nacidos en Londres
Vamos a matar los Gaticos	3.375	Cepeda Samudio, Álvaro	Cepeda Samudio	Álvaro	Colombia	Romanticismo	1926.0	1972.0	Benito Pérez Galdós,Gabriel García Márquez,Hernando Téllez,James Joyce,John Steinbeck,Juan Rulfo,Meira Delmar,Pío Baroja,Sherwood Anderson,Virginia Woolf	Barranquilleros,Escritores de Colombia,Escritores en espanol del siglo XX,Fallecidos en 1972,Hombres,Integrantes del Grupo de Barranquilla,Nacidos en 1926,Novelistas de Colombia,Periodistas de Colombia,Realismo mágico
